# 闭环尝试记账（多重比较修正用）
# ts | 实验 | 参数 | 样本外BSS | 结论
2026-09-14T23:10 | 因子:热门方赛程密集 | rest<=3 n=18 -24.1pp CI[-42.2,-4.0] | ⛔机制检验否决:对称性失败(冷门密集也是负)+相邻档反号(3天-18.2/4天+18.8) | 噪声
2026-09-14T23:20 | 闸v3 三档准入 | 正式(全幅)/试用(半幅,信息量>=25%)/候选(只入档) | F3进试用档x0.5 | 放宽生效
2026-09-14T23:50 | 板型冷热 | corr(Σtop1,实际模态)=+0.442(n=22期) | F3跨板型稳定(cold+11.8/neutral+9.4/hot+6.7) | F3无需分板
2026-09-15T00:00 | H2×板型 | cold+2.6/neutral-2.2/hot-6.4 单调,过机制检验 | 分窗:hot 训练-13.6→测试-2.1,cold符号翻转 | 候选档,不部署
2026-09-15T00:10 | 首发采集器 | API配额429→改为af-map定向+调用上限40+429降级 | af-map生成器 26124 12/14 全部正确 | 基础设施就绪
2026-09-15T01:00 | 采集渠道改用titan007 | 板面自带竞彩号↔match_id,免配额 | 对齐13/14(场13当日不在竞彩板面,正确缺席) | 替代API-Football
2026-09-15T01:10 | ⭐位移信号重测 | titan007 opening→current(跨天) | 中位3.9pp 最大6.9pp (旧同日双快照仅0.5pp) | 信号放大8倍,W1.5可重做
2026-09-15T01:20 | 生产bug修复 | align_zucai_to_titan007 唯一候选不校验队名 | 26124场13被同刻的本菲卡-吉维森特顶包 | TDD修复+2测试
2026-09-15T02:00 | titan007回填 | 12期/145场(去重后对齐8-14/14) | 两源Brier: 500com 0.5595 / t7当前 0.5561 / t7开盘 0.5694 | 开盘明显差=管线正确
2026-09-15T02:10 | 双源校准对比 | n=132 | BSS +0.61% CI[-0.83,+2.07] 配对76:56 p=0.098 | 无法区分→不换prior
2026-09-15T02:20 | ⭐W1.5重做(真位移) | k扫描单调,最优k=+1.0动量 | BSS+0.69% CI[-1.44,+3.01];热门被下压n=26残差-13.1pp z=-1.40 | 候选档,最佳新因子候选
2026-09-15T03:00 | 回填扩至全语料 | 30期/352场(可比264场) | - | 基础设施
2026-09-15T03:10 | ⛔位移因子扩样本 | n=132→339 | 「热门被下压」-13.1pp(n=26) → 扩后 下压>3pp +2.4/下压1-3pp -1.5,分窗符号翻转 | 小样本噪声,剔除
2026-09-15T03:20 | mechanism_checks v2 | 加「真趋势」检验(差分同向>=2/3 且首尾跨度足够) | 正确否决平坦序列/通过真单调序列 | 工具加固
2026-09-15T03:30 | ⭐两源等权混合prior | n=264 | BSS +0.57% CI[+0.01,+1.15] 配对148:116 | CI下界>0,试用档
2026-09-15T04:00 | 混合prior接入生产 | blend_fair/attach_blend, 不覆盖 fair_had | 26125 10/11场混合 | TDD 4测试
2026-09-15T04:10 | ⛔分歧闸 | 26125场1 500说主84.7 vs t7说客89.5 → 平均出44/9/47的垃圾 | 闸挡下;历史264场零误挡 | TDD 3测试
2026-09-15T04:20 | 动态混合权重 | 分歧越大越偏锐盘, w:0.5→1.0/1.5 | 点估计+0.87/+1.07% 但CI均含0;固定0.5 CI[+0.02,+1.14] | 否决,不加参数
2026-09-15T04:30 | 流动性分层 | 锐盘书数 | 247/264 集中在6-7家,无变异 | 不可用
2026-09-14T15:30 | ⭐26125 真上场(prior层) | 混合prior+F3+冷热校准 | 混合Δ最大0.4pp零阈值穿越;闸挡下场1;F3抬9场+1.4pp;Σtop1=8.65 hot | 已预注册Q1-Q5
2026-09-14T16:00 | 场1源分歧定性 | titan007 板面home=中国女足 但其比赛页标题主客相反;欧赔跟随比赛页 | 两源实质一致(中国女足85-90%) | 标签问题非实质分歧,闸该响但推测方向错
2026-09-14T17:20 | ⭐26125 全流程实战 | 深研9场已回7场 | 六场锚方FAIL/四场带anchor_shield_out;帽内C17合法解14个但未查场零裸单解=0 | 裁决:空仓
2026-09-14T17:20 | 身份bug | 场2「吉国民」标为吉尔吉斯,实为吉达国民Al-Ahli(沙特) | 与「按fair反查抢错身份」同形 | 须回查 store-ids
2026-09-14T17:40 | ⭐面集展开入码 | C14 口算错误(被排面 vs 任一面)→ decision-explain-faces | 复用 audit_legs 不另写判定;判断栏留空;退出码恒0非出票门 | TDD 7测试,RUNBOOK B4c
2026-09-14T18:05 | ⛔B1 面级源倾斜(预注册) | 假设:500广口径厌恶平局→平局面该偏t7 | ①方向相反(500 平局反而高 +0.27pp,t=+3.84)②倾斜无收益 BSS-0.02% CI[-0.16,+0.10] | 否决,机制预设错
2026-09-14T18:05 | ⚠️事后方向不追 | 胜负两面偏t7 w=1.0 BSS+0.38% 但 CI[-0.06,+0.81] 含0 | 事后择向+CI不过闸,双重不合格 | 不部署不入候选
2026-09-14T18:05 | ⚠️两源同错的平局带不追 | 两源分歧≥2pp 的平局面 n=26 实开11.5% vs 两源均~20.5%(残差-9pp) | 与已剔除的位移因子同形(-13.1pp n=26 扩样后翻号) | 拒绝立案,须 n≥80 再看
2026-09-14T18:40 | ⛔因子3 完整度→平局面(预注册) | 假设:脊柱受损压缩净胜球→平局面错价;主分析只用14腿全板n=113避幸存者偏差 | fail残差+0.4pp(EB后+0.2);价格分档符号翻转(低-0.0/中+7.5/高-5.5)过不了机制检验① | 否决
2026-09-14T19:10 | ⛔因子4 让球三路跨盘残差(预注册) | n=1000/114天;结算源自检 0907 9/9 过 | BSS(DC vs 体彩hhad) +0.04% CI[-0.28,+0.35] 不过闸;让胜Δ仅-1.11pp(全线一致) | 否决
2026-09-14T19:10 | ⛔昨日推荐被回测推翻 | 我称"四条-2盘让胜高估6-12pp" | -2盘子集 n=26 的让胜Δ=-1.07pp,与-1/+1 盘(-1.15/-1.05)无差别 | 4场轶事;已向用户更正
2026-09-14T19:30 | ⭐因子1 书商分歧度(预注册) | 152-172家逐家去水;n=339 | 方向与预设相反:高分歧→大热多开(Q3+8.2/Q4+6.4,Q1-5.4);四个top1档全存活,corr(disp,top1)=0.143非价格代理;向均匀收缩最优k=0 | 预设机制证伪,效应真实→转F1b
2026-09-14T19:35 | ⚠️因子2 让球线离散位移(预注册) | 初/终盘中位线,n=339;⛔已排除滚球盘(oddstype=wholeLastOdds) | 方向对+机制检验②过+承诺强度阶梯单调(-1.4/+1.9/+7.4);但偏移策略BSS+0.35% CI[-0.41,+1.08] | 不过闸→候选档
2026-09-14T19:35 | 因子2 混杂控制 | 固定top1档后 | 非F3混杂(效应在[45,60)带最强+6.9pp n=44,60+带仅+1.4pp);"线不动-7.2pp"是档位组合效应,控制后消失 | 单格n=44,与已两次栽过的n=26同形
2026-09-14T19:55 | ⭐因子1b 陈盘污染(重新预注册) | ①陈盘半距开盘3.07pp<新鲜半3.99pp(78%场次) ②新鲜半vs陈盘半 BSS+0.53% CI[+0.04,+1.00] ③增益随分歧单调(+0.15/+0.21/+1.34) | 三条预测全中,首个过闸因子 | 机制确证
2026-09-14T19:55 | ⛔因子1b 不可部署 | 新鲜半(87家) vs 生产锐盘白名单(6-7家) BSS-0.07% CI[-0.32,+0.18] | 白名单本就是伪装成"锐盘"的新鲜度过滤器,且做得更好 | 不换生产;解释了白名单为何有效
2026-09-14T19:55 | 因子1c 分歧度剩余效应 | 对着锐盘共识仍有效→陈盘机制解释不了;效应集中在书目少的子集(少-5.4→+11.6 vs 多+3.0→+4.7) | 锐化最优k=-3.0 BSS+0.25% CI[-0.42,+0.88];无已验证机制+事后方向 | 候选档,prereg-26126
2026-09-14T17:55 | ⭐因子2 前瞻观察仪 | scripts/zucai_f2_observe.py record/grade;泄漏闸=最早开球后整期拒收;分档冻结 | 26125 活体全链路验证11/14对齐(该观察单已移出:板面我已深度看过非干净前瞻) | RUNBOOK 非决策附录
2026-09-14T17:55 | M6 SSE 探针修复 | 红自2026-09-10双泳道重构(投影闸落地)而测试写于08-24 | 根因=探针无operator runtime→工人不装配+裸TestClient不触发lifespan→delivered_sequence恒0 | 修测试不动闸(无工人时隐藏事件是设计意图,已有测试显式断言)
2026-09-14T18:10 | launchd 清理+补齐 | 扫全部34个agent无失效路径僵尸;移除死的 decision.close/settle(备份docs/ops/retired-launchd) | 新装 zucai.f2-observe(自算开球12-45分窗)+zucai.prep-morning(11:00,补RUNBOOK B0缺口) | 记忆 nutmeg_launchd_state 重写
2026-09-14T18:15 | ⭐修掉 decision.close 的真 bug | 根因=run_express/v2 json.loads后零形状校验,喂进票面结构dict→迭代出字符串键→leg.get炸 | compose_tickets 入口加具名形状闸(TDD 3测试);与 audit-legs 的 missing_audit_metadata 互为对称 | 8-13起该agent就死在这
2026-09-14T18:35 | ⭐Telegram 推送与实际功能同步 | 实测49条历史推送:无期心跳20条(41%)/「判读待主循环」29-29常量/「强锚候选」=价格重述/「位移超门槛」已实测零价值 | 无期日静默(改7天阈值告警)+正文换成分歧闸/混合覆盖/未对齐+revision只在跨slot异动时响 | TDD 11测试
2026-09-14T18:35 | 第二处脱节 | 混合prior+分歧闸进了生产代码,但今天14:00跑出的备料无 fair_blend/fair_source | 重建验证:10/14混合+分歧闸拦下场1——代码是好的,14:00文件是旧代码写的 | 无活bug;新推送已把闸上推
2026-09-14T18:55 | ⭐竞彩国际欧赔切源收尾(用户裁定「切」) | 查实:代码早已 titan007主/AF备;今日血统12-12全titan007 | 残留=08:00时titan007板面未铺开→唤醒AF备源→配额耗尽每次429(09-01起164次,一场没补上) | AF备源默认关,env可开回;TDD 3测试
2026-09-14T18:55 | ⚠️发现 OpenClaw 另管4个Nutmeg任务 | SCHEDULER-ROSTER: 08:20/17:15/17:30/18:35;bold_odds 其实是17:15那个写的(10天全17:15) | roster 仍把已死的 close(19:00)/settle(08:10) 列为在跑;且「七个任务出错都发Telegram」=噪音的另一半 | 未动,待用户裁
